Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C102653	C71150		ECG Result	LATE R WAVE TRANSITION	Late R Wave Transition	An electrocardiographic finding where the amplitude of the R wave does not become greater than the amplitude of the S wave until an unusually late point in the precordial leads, usually in leads V4 to V6.	Late R Wave Transition by ECG Finding
C35586	C71150		ECG Result	LATERAL WALL MYOCARDIAL INFARCTION	Lateral MI; Lateral Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves in leads V5, V6, I and aVL, which is suggestive of myocardial infarction of the lateral wall of the left ventricle.	Lateral Myocardial Infarction by ECG Finding
C62267	C71150		ECG Result	LEFT ANTERIOR FASCICULAR BLOCK	Left Anterior Hemiblock; Left anterior fascicular block	An electrocardiographic finding of a slightly widened QRS duration (typically less than 120 ms) with leftward frontal plane QRS axis and typically small Q waves in leads I and aVL.	Left Anterior Fascicular Block by ECG Finding
C71040	C71150		ECG Result	LEFT ATRIAL ABNORMALITY	Left Atrial Enlargement; P-mitrale	An electrocardiographic finding suggesting underlying hypertrophy or dilatation of the left atrium. Electrocardiographic criteria used for the diagnosis of left atrial abnormality may include a bifid p wave, a biphasic p wave and/or a p wave duration of greater than 0.12 seconds. (NCI)	P-mitrale by ECG Finding
C62269	C71150		ECG Result	LEFT BUNDLE BRANCH BLOCK	Complete LBBB; Left bundle branch block; Left bundle-branch block	An electrocardiographic finding of a wide QRS complex with evidence of delayed conduction to the left ventricle, manifest as a widened initial portion of the QRS complex in leads V5, V6, I and aVL and with QRS duration greater than or equal to 120 ms.	Left Bundle Branch Block by ECG Finding
C62268	C71150		ECG Result	LEFT POSTERIOR FASCICULAR BLOCK	Left Posterior Hemiblock; Left posterior fascicular block	An electrocardiographic finding of an S1Q3 pattern and QRS axis greater than or equal to 120 degrees. It is usually seen in association with other abnormalities (e.g. RBBB or RVH).	Left Posterior Fascicular Block by ECG Finding
C92231	C71150		ECG Result	LEFT VENTRICULAR CONDUCTION DELAY	Left Ventricular Conduction Delay	An electrocardiographic finding in which there is evidence that electrical transmission through the left ventricle is impaired.	Left Ventricular Conduction Delay by ECG Finding
C71076	C71150		ECG Result	LEFT VENTRICULAR HYPERTROPHY	Left Ventricular Hypertrophy	An electrocardiographic finding suggestive of a hypertrophied left ventricle, characterized by large QRS amplitudes and secondary findings of left atrial enlargement, left axis deviation, or typical pattern of ST depression and T wave inversion.	Left Ventricular Hypertrophy by ECG Finding
C102655	C71150		ECG Result	LEFT VENTRICULAR HYPERTROPHY WITH STRAIN	Left Ventricular Hypertrophy With Strain	An electrocardiographic finding suggestive of a hypertrophied left ventricle, characterized by large QRS amplitudes, ST depression and T wave inversion.	Left Ventricular Hypertrophy with Strain by ECG Finding
C114151	C71150		ECG Result	LIMB ELECTRODE(S) DISCONNECTED		An electrocardiographic recording in which one or more of the limb electrodes are disconnected resulting in missing waveforms (often flat lines) of the respective leads.	Disconnected Limb Electrodes by ECG Finding
C114150	C71150		ECG Result	LIMB ELECTRODES INTERCHANGED	Limb Lead Reversal	An electrocardiographic recording in which two or more of the limb electrodes are switched resulting in improper representation of the affected leads.	Interchanged Limb Electrodes by ECG Finding
C114166	C71150		ECG Result	LOW AMPLITUDE SIGNAL	Low Amplitude QRS Complex	An electrocardiographic recording showing smaller than usual QRS complexes in one or more leads. This may represent a technical issue with the ECG acquisition or characteristics of the individual.	Low Amplitude QRS Complex by ECG Finding
C71078	C71150		ECG Result	LOW QRS VOLTAGE	Low QRS voltage	An electrocardiographic finding of a QRS amplitude less than or equal to 0.5 mV in the limb leads or QRS amplitude less than or equal to 1 mV in the precordial leads.	Low QRS Voltage by ECG Finding
C116133	C71150		ECG Result	LOW VOLTAGE - LIMB LEADS ONLY		An electrocardiographic finding of small QRS amplitudes (less than 500 microvolts) in all limb leads.	Low Voltage in Limb Leads Only by ECG Finding
C71050	C71150		ECG Result	MULTIFOCAL ATRIAL TACHYCARDIA	Multifocal atrial tachycardia	An electrocardiographic finding of a supraventricular arrhythmia characterized by 3 or more distinct P wave morphologies with an isoelectric baseline, variable PR intervals and no predominant atrial rhythm. The ventricular rate is typically 100-150 beats per minute.	Multifocal Atrial Tachycardia by ECG Finding
C114148	C71150		ECG Result	MUSCLE TREMOR		An electrocardiographic recording with intermittent mid to high frequency artifact in one or more leads due to muscular tremor or movement rather than cardiac activity.	Muscle Tremor Artifact
C101589	C71150		ECG Result	MYOCARDIAL INFARCTION	Myocardial Infarction	An electrocardiographic finding of pathologic Q waves, which is suggestive of myocardial infarction of one or more regions of the heart. No specification is provided for localization.	Myocardial Infarction by ECG Finding
C102732	C71150		ECG Result	NEW ANTERIOR WALL MYOCARDIAL INFARCTION	New Anterior MI; New Anterior Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves in leads V3 and V4, which is suggestive of myocardial infarction of the anterior wall of the left ventricle and which is new compared to prior ECGs.	New Anterior Myocardial Infarction by ECG Finding
C102733	C71150		ECG Result	NEW ANTEROLATERAL WALL MYOCARDIAL INFARCTION	New Anterolateral Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves in leads V3 through V6, which is suggestive of myocardial infarction of the anterolateral wall of the left ventricle and which is new compared to prior ECGs.	New Anterolateral Myocardial Infarction by ECG Finding
C102734	C71150		ECG Result	NEW ANTEROSEPTAL WALL MYOCARDIAL INFARCTION	New Anteroseptal Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves in leads V1 through V4, which is suggestive of myocardial infarction of the anteroseptal wall of the left ventricle and which is new compared to prior ECGs.	New Anteroseptal Myocardial Infarction by ECG Finding
C102735	C71150		ECG Result	NEW EXTENSIVE ANTERIOR WALL MYOCARDIAL INFARCTION	New Extensive Anterior Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves in leads V1 to V6, I and aVL, which is suggestive of myocardial infarction involving the anterior and anterolateral walls of the left ventricle and which is new compared to prior ECGs.	New Extensive Anterior Myocardial Infarction by ECG Finding
C102736	C71150		ECG Result	NEW HIGH LATERAL WALL MYOCARDIAL INFARCTION	New High Lateral Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves in leads I and aVL, which is suggestive of myocardial infarction of the high lateral wall of the left ventricle and which is new compared to prior ECGs.	New High Lateral Myocardial Infarction by ECG Finding
C102737	C71150		ECG Result	NEW INFERIOR WALL MYOCARDIAL INFARCTION	New Inferior Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves in leads III, aVF and often II, which is suggestive of myocardial infarction of the inferior wall of the left ventricle and which is new compared to prior ECGs.	New Inferior Myocardial Infarction by ECG Finding
C102738	C71150		ECG Result	NEW LATERAL WALL MYOCARDIAL INFARCTION	New Lateral Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves in leads V5, V6, I and aVL, which is suggestive of myocardial infarction of the lateral wall of the left ventricle and which is new compared to prior ECGs.	New Lateral Myocardial Infarction by ECG Finding
C102731	C71150		ECG Result	NEW MYOCARDIAL INFARCTION	New Myocardial Infarction	An electrocardiographic finding of pathologic Q waves, which is suggestive of myocardial infarction of one or more regions of the heart and which is new compared to prior ECGs. No specification is provided for localization.	New Myocardial Infarction by ECG Finding
C106548	C71150		ECG Result	NEW POSTERIOR WALL MYOCARDIAL INFARCTION		An electrocardiographic finding in leads V1 or V2 of an initial R wave duration greater than or equal to 40 ms, R wave greater than S wave, and upright T wave, which is suggestive of myocardial infarction of the posterior wall of the left ventricle, and which is new compared to prior ECGs. Evidence of inferior or lateral myocardial infarction is usually also present.	New Posterior Wall Myocardial Infarction by ECG Finding
C102739	C71150		ECG Result	NEW SEPTAL WALL MYOCARDIAL INFARCTION	New Septal Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves in leads V1, V2 and often V3, which is suggestive of myocardial infarction of the intraventricular septum and which is new compared to prior ECGs.	New Septal Myocardial Infarction by ECG Finding
C114163	C71150		ECG Result	NO ECG WAVEFORMS PRESENT		An electrocardiographic recording that displays flat lines (no waveforms are visible) in all leads present.	ECG Waveforms Not Present
C71080	C71150		ECG Result	NON Q WAVE MYOCARDIAL INFARCTION	Non Q Wave Myocardial Infarction	An electrocardiographic finding of ST and T wave abnormalities in the absence of pathologic Q waves, which is suggestive of myocardial infarction in one or more regions of the heart.	Non Q Wave Myocardial Infarction by ECG Finding
C116134	C71150		ECG Result	NON-DIAGNOSTIC Q WAVES		An electrocardiographic finding of Q waves which are insufficient for the diagnosis of myocardial infarction. In such cases a myocardial infarction may be suspected, even though ECG criteria are not met.	Non-Diagnostic Q Waves by ECG Finding
C71031	C71150		ECG Result	NON-SPECIFIC ST-T CHANGES	Non-specific ST-T changes	An electrocardiographic finding of changes in the ST segment and T wave that do not meet criteria for ischemia or infarction. (NCI)	Non-Specific ST-T Changes by ECG Finding
C102680	C71150		ECG Result	NON-SUSTAINED ATRIAL TACHYCARDIA	Non-Sustained Atrial Tachycardia	An electrocardiographic finding of an atrial tachycardia which terminates in less than 30 seconds.	Non-Sustained Atrial Tachycardia by ECG Finding
C71053	C71150		ECG Result	NON-SUSTAINED VENTRICULAR TACHYCARDIA	Non-sustained ventricular tachycardia; Ventricular tachycardia, unsustained	An electrocardiographic finding of ventricular tachycardia less than 30 seconds in duration. (NCI)	Non-Sustained Ventricular Tachycardia by ECG Finding
C102681	C71150		ECG Result	NORMAL SINUS RHYTHM	Normal Sinus Rhythm	An electrocardiographic finding of an atrial rhythm which originates from the sinoatrial node that is considered normal for the population. There are no extra beats or conduction abnormalities.	Normal Sinus Rhythm
C102634	C71150		ECG Result	NORTHWEST AXIS	Northwest Axis; Right superior axis	An electrocardiographic finding of a frontal plane QRS axis from -90 to +180 degrees.	Extreme Right Axis Deviation
C71032	C71150		ECG Result	NOTCHED T WAVES	Notched T Waves	An electrocardiographic finding of an irregular, u or v shaped deflection within the contour of the T wave.	T Wave Notched by ECG Finding
C102684	C71150		ECG Result	OLD OR AGE INDETERMINATE ANTERIOR WALL MYOCARDIAL INFARCTION	Old Or Age Indeterminate Anterior Wall Myocardial Infarction	An electrocardiographic finding of pathologic Q waves in leads V3 and V4, which is suggestive of myocardial infarction of the anterior wall of the left ventricle, without evidence of current or ongoing acute infarction.	Old or Age Indeterminate Anterior Myocardial Infarction by ECG Finding
